vertex_1,vertex_2,length,haversine
36704818,1859897265,14.978,0.014977979735758581
36704818,2418894170,331.154,0.3311542437956941
36704821,1859897259,178.919,0.17790468550244376
36704821,2199148106,207.03900000000002,0.2024812850589883
36704825,2351356051,101.429,0.10125053636456437
36704830,1420029027,18.496,0.018496019266917015
36704830,1859897258,165.647,0.16539729712605003
36704846,1303500777,171.66500000000002,0.17163393118251402
36704846,1303500778,166.46699999999998,0.1658605567216323
36704851,1833346993,162.938,0.16293774426937754
36704851,36704890,95.764,0.05663133509487733
36704890,2480713380,87.906,0.08790609930727404
36704890,1833346993,149.036,0.14824518054801436
36704892,2010523648,128.427,0.1284269373615893
36704893,1859897260,21.95,0.02194999004401172
36704893,36704894,59.369,0.05936930693650302
36704894,2199148106,42.461,0.04246070534069235
36704894,1303500739,67.006,0.06700649465611337
36704900,2199144451,118.222,0.11822203622462582
36704903,7259089826,44.784,0.044783639117816236
36704941,36704959,158.719,0.15871894170970782
36704941,36704944,143.67,0.14281400357059423
36704944,7259089831,98.281,0.09828119501551251
36704944,36704959,96.742,0.05961685390852419
36704952,36704900,264.99,0.2649313793957437
36704959,1303500887,231.82,0.23181977630947168
64367553,32618816,49.542,0.04931589827871455
64367553,1190930435,50.938,0.04743315227058189
64382848,332949603,13.172,0.013171859378480413
64382848,2207734460,391.589,0.391588773787099
64384543,8577212867,23.444,0.023444248396006475
64384543,2011146648,223.83300000000003,0.22352325652855756
64490206,1190930403,221.724,0.22172270324986973
64499347,656104082,331.34499999999997,0.3312534545587339
64529291,330837004,69.794,0.06979351411797625
64529291,1420029054,51.949999999999996,0.051875599905913346
64603538,1802402466,641.029,0.6409883163454975
64603538,5873191061,236.05400000000003,0.23604491148478915
64603697,64603538,33.981,0.033981226147098746
64603697,64603903,85.582,0.08558170440116272
64603903,1802402469,529.61,0.5295930307920271
72758365,754517089,257.696,0.2576960603730156
72758365,1410718544,344.13100000000003,0.34413016864852086
72758368,1298058551,66.69,0.06669041508283358
72759646,387156704,291.341,0.291341284911598
72759646,1038275211,25.498,0.02549877960882734
72843112,1600000863,1170.522,1.169628049284062
72846241,1195165420,116.158,0.11614412079977196
72855718,605042127,359.292,0.3592923268855117
72855718,1211859227,1556.25,1.3974065862082183
72855723,72855730,627.781,0.6172595880896666
72855730,72855736,779.054,0.7771187097914942
