n,cost,execution_time
1013,0.975788,0.000025
1014,0.976104,0.000040
1015,0.976504,0.000025
1016,0.977014,0.000513
1017,0.977363,0.000274
1018,0.977763,0.001342
1019,0.978470,0.000056
1020,0.978612,0.000027
1021,0.979212,0.001816
1022,0.979212,0.000021
1023,0.979528,0.000026
1024,0.987777,0.000424
1025,0.988316,0.000267
1026,0.988854,0.000105
1027,0.988854,0.000019
1028,0.988954,0.000029
1029,0.989271,0.001448
1030,0.990077,0.001753
1031,0.996284,0.000210
1032,0.997912,0.000114
1033,0.998012,0.000027
1034,0.998212,0.000039
1035,0.998572,0.000026
1036,0.998888,0.000025
1037,0.998888,0.000023
1038,0.999112,0.000026
1039,0.999536,0.000028
1040,0.999760,0.000027
1041,1.000040,0.000028
1042,1.000360,0.000027
1043,1.001440,0.000247
1044,1.002160,0.000389
1045,1.002260,0.000027
1046,1.002560,0.001113
1047,1.002760,0.000029
1048,1.002960,0.000031
1049,1.003280,0.000026
1050,1.003380,0.000030
1051,1.003380,0.000022
1052,1.003660,0.000030
1053,1.004300,0.000995
1054,1.004260,0.002247
1055,1.004710,0.000026
1056,1.004990,0.000071
1057,1.005190,0.000029
1058,1.005340,0.000025
1059,1.005540,0.000028
1060,1.005840,0.001124
1061,1.006110,0.000267
1062,1.006540,0.000029
1063,1.007210,0.000763
1064,1.007570,0.000696
1065,1.008280,0.000600
1066,1.009250,0.000484
1067,1.009390,0.000030
1068,1.009900,0.003279
1069,1.010220,0.000032
1070,1.010670,0.000382
1071,1.011180,0.000499
1072,1.012200,0.001376
1073,1.012420,0.000026
1074,1.012520,0.000030
1075,1.013160,0.001018
1076,1.013160,0.000025
1077,1.015430,0.000055
1078,1.015730,0.000031
1079,1.016270,0.001145
1080,1.016570,0.000031
1081,1.016770,0.000632
1082,1.016770,0.000027
1083,1.016770,0.000027
1084,1.016870,0.000050
1085,1.017570,0.001114
1086,1.017980,0.000030
1087,1.018800,0.000101
1088,1.018840,0.000065
1089,1.019040,0.000025
1090,1.019470,0.000026
1091,1.019570,0.000029
1092,1.019710,0.000029
1093,1.020120,0.000029
1094,1.020520,0.000083
1095,1.020810,0.000028
1096,1.021810,0.000877
1097,1.022970,0.000080
1098,1.023330,0.000197
1099,1.023650,0.000026
1100,1.023960,0.000025
1101,1.024830,0.000183
1102,1.025460,0.000794
1103,1.025560,0.000025
1104,1.029650,0.000037
1105,1.029790,0.000042
1106,1.030010,0.000028
1107,1.030150,0.001207
1108,1.030150,0.000022
1109,1.030450,0.000177
1110,1.030680,0.000028
1111,1.030820,0.000027
1112,1.031040,0.000024
1113,1.031340,0.000030
1114,1.031810,0.000529
1115,1.032230,0.000093
1116,1.032450,0.000025
1117,1.033380,0.001489
1118,1.033890,0.000256
1119,1.034190,0.002603
1120,1.034290,0.000092
1121,1.034620,0.000084
1122,1.034820,0.000028
1123,1.038950,0.000032
1124,1.039310,0.001916
1125,1.039470,0.002152
1126,1.039570,0.000031
1127,1.039710,0.000027
1128,1.040630,0.000243
1129,1.040930,0.000029
1130,1.041220,0.000030
1131,1.041440,0.000027
1132,1.041580,0.000027
1133,1.042420,0.000055
1134,1.042420,0.000019
1135,1.042520,0.000024
1136,1.042670,0.000033
1137,1.042610,0.001061
1138,1.043280,0.001175
1139,1.043600,0.000030
1140,1.044010,0.000963
1141,1.044510,0.000026
1142,1.044910,0.002018
1143,1.045250,0.000565
1144,1.045660,0.000637
1145,1.045880,0.000028
1146,1.046670,0.000133
1147,1.046810,0.000026
1148,1.046910,0.000025
1149,1.048210,0.000079
